text,image_path,label
BREAKING: Scientist discover aliens in a secret lab. Government denies,dummy_images/sample_0.jpg,1
BREAKING: Scientist discover time travel in NASA. Photos leaked,dummy_images/sample_1.jpg,1
BREAKING: Scientist discover time travel in NASA. Official confirmation pending,dummy_images/sample_2.jpg,1
BREAKING: Scientist discover aliens in NASA. Photos leaked,dummy_images/sample_3.jpg,1
New study shows climate change improving in Europe,dummy_images/sample_4.jpg,0
New study shows economic growth worsening in Asia,dummy_images/sample_5.jpg,0
BREAKING: Scientist discover aliens in a secret lab. Photos leaked,dummy_images/sample_6.jpg,1
New study shows vaccine efficacy worsening in Europe,dummy_images/sample_7.jpg,0
New study shows vaccine efficacy worsening in North America,dummy_images/sample_8.jpg,0
BREAKING: Scientist discover aliens in the ocean. Government denies,dummy_images/sample_9.jpg,1
New study shows climate change worsening in Europe,dummy_images/sample_10.jpg,0
New study shows climate change improving in Europe,dummy_images/sample_11.jpg,0
New study shows economic growth worsening in North America,dummy_images/sample_12.jpg,0
New study shows economic growth worsening in Europe,dummy_images/sample_13.jpg,0
New study shows vaccine efficacy improving in Europe,dummy_images/sample_14.jpg,0
New study shows economic growth improving in Europe,dummy_images/sample_15.jpg,0
New study shows vaccine efficacy improving in Europe,dummy_images/sample_16.jpg,0
BREAKING: Scientist discover aliens in NASA. Government denies,dummy_images/sample_17.jpg,1
BREAKING: Scientist discover time travel in the ocean. Official confirmation pending,dummy_images/sample_18.jpg,1
BREAKING: Scientist discover aliens in NASA. Government denies,dummy_images/sample_19.jpg,1
BREAKING: Scientist discover aliens in a secret lab. Official confirmation pending,dummy_images/sample_20.jpg,1
BREAKING: Scientist discover cure for cancer in the ocean. Official confirmation pending,dummy_images/sample_21.jpg,1
New study shows vaccine efficacy improving in Asia,dummy_images/sample_22.jpg,0
New study shows vaccine efficacy worsening in Asia,dummy_images/sample_23.jpg,0
BREAKING: Scientist discover cure for cancer in NASA. Photos leaked,dummy_images/sample_24.jpg,1
New study shows climate change improving in North America,dummy_images/sample_25.jpg,0
BREAKING: Scientist discover aliens in NASA. Photos leaked,dummy_images/sample_26.jpg,1
New study shows vaccine efficacy improving in Asia,dummy_images/sample_27.jpg,0
New study shows vaccine efficacy worsening in North America,dummy_images/sample_28.jpg,0
New study shows economic growth improving in North America,dummy_images/sample_29.jpg,0
New study shows vaccine efficacy worsening in North America,dummy_images/sample_30.jpg,0
New study shows economic growth improving in Europe,dummy_images/sample_31.jpg,0
BREAKING: Scientist discover cure for cancer in the ocean. Official confirmation pending,dummy_images/sample_32.jpg,1
New study shows vaccine efficacy worsening in Europe,dummy_images/sample_33.jpg,0
BREAKING: Scientist discover time travel in a secret lab. Government denies,dummy_images/sample_34.jpg,1
New study shows economic growth improving in Asia,dummy_images/sample_35.jpg,0
BREAKING: Scientist discover cure for cancer in a secret lab. Government denies,dummy_images/sample_36.jpg,1
BREAKING: Scientist discover aliens in NASA. Official confirmation pending,dummy_images/sample_37.jpg,1
New study shows climate change worsening in North America,dummy_images/sample_38.jpg,0
BREAKING: Scientist discover time travel in the ocean. Official confirmation pending,dummy_images/sample_39.jpg,1
BREAKING: Scientist discover time travel in NASA. Official confirmation pending,dummy_images/sample_40.jpg,1
BREAKING: Scientist discover cure for cancer in the ocean. Official confirmation pending,dummy_images/sample_41.jpg,1
New study shows economic growth improving in Europe,dummy_images/sample_42.jpg,0
BREAKING: Scientist discover time travel in the ocean. Photos leaked,dummy_images/sample_43.jpg,1
New study shows economic growth worsening in Asia,dummy_images/sample_44.jpg,0
BREAKING: Scientist discover cure for cancer in NASA. Photos leaked,dummy_images/sample_45.jpg,1
BREAKING: Scientist discover time travel in NASA. Official confirmation pending,dummy_images/sample_46.jpg,1
New study shows vaccine efficacy worsening in Europe,dummy_images/sample_47.jpg,0
BREAKING: Scientist discover time travel in a secret lab. Government denies,dummy_images/sample_48.jpg,1
BREAKING: Scientist discover time travel in NASA. Photos leaked,dummy_images/sample_49.jpg,1
BREAKING: Scientist discover time travel in the ocean. Official confirmation pending,dummy_images/sample_50.jpg,1
BREAKING: Scientist discover aliens in the ocean. Government denies,dummy_images/sample_51.jpg,1
New study shows economic growth improving in North America,dummy_images/sample_52.jpg,0
BREAKING: Scientist discover cure for cancer in NASA. Government denies,dummy_images/sample_53.jpg,1
BREAKING: Scientist discover time travel in a secret lab. Official confirmation pending,dummy_images/sample_54.jpg,1
New study shows vaccine efficacy improving in Europe,dummy_images/sample_55.jpg,0
New study shows economic growth worsening in Europe,dummy_images/sample_56.jpg,0
New study shows vaccine efficacy worsening in North America,dummy_images/sample_57.jpg,0
BREAKING: Scientist discover aliens in NASA. Photos leaked,dummy_images/sample_58.jpg,1
New study shows climate change improving in Asia,dummy_images/sample_59.jpg,0
BREAKING: Scientist discover aliens in NASA. Photos leaked,dummy_images/sample_60.jpg,1
New study shows economic growth improving in North America,dummy_images/sample_61.jpg,0
New study shows vaccine efficacy worsening in Asia,dummy_images/sample_62.jpg,0
BREAKING: Scientist discover time travel in the ocean. Government denies,dummy_images/sample_63.jpg,1
BREAKING: Scientist discover cure for cancer in the ocean. Government denies,dummy_images/sample_64.jpg,1
BREAKING: Scientist discover time travel in NASA. Photos leaked,dummy_images/sample_65.jpg,1
BREAKING: Scientist discover aliens in a secret lab. Photos leaked,dummy_images/sample_66.jpg,1
New study shows vaccine efficacy worsening in Asia,dummy_images/sample_67.jpg,0
New study shows climate change improving in North America,dummy_images/sample_68.jpg,0
New study shows climate change improving in Asia,dummy_images/sample_69.jpg,0
BREAKING: Scientist discover time travel in NASA. Official confirmation pending,dummy_images/sample_70.jpg,1
New study shows vaccine efficacy worsening in North America,dummy_images/sample_71.jpg,0
New study shows economic growth worsening in Europe,dummy_images/sample_72.jpg,0
New study shows vaccine efficacy improving in North America,dummy_images/sample_73.jpg,0
New study shows climate change improving in Europe,dummy_images/sample_74.jpg,0
